Mach,e,avg_Edot
1.2,0.7,-0.022966969836350618
1.7,0.7,-0.01948079797453858
0.4,0.7,-0.0040325462766272946
0.2,0.7,0.008550962849347754
2.5,0.7,-0.014918741286721627
0.8,0.7,-0.02212506183937381
1.6,0.7,-0.02055107518504919
2.0,0.7,-0.017857625777944853
1.0,0.7,-0.02387466539026947
1.2,0.3,-0.04466529057220815
1.7,0.3,-0.04433770484781445
0.4,0.3,-0.0002378278933978342
0.2,0.3,0.008122586589010584
2.5,0.3,-0.022326580919975643
0.8,0.3,-0.014514243008215286
1.6,0.3,-0.045970805993416394
1.0,0.5,-0.03166833791128553
0.8,0.5,-0.023624291876799326
0.6,0.5,-0.008811089622244918
1.5,0.5,-0.03362145109864729
2.5,0.5,-0.020598992292891916
1.5,0.5,-0.03362145109864729
2.0,0.5,-0.029009791930922083
2.0,0.3,-0.034889542174236336
1.2,0.9,-0.010457109341387561
1.7,0.9,-0.008694900609156894
0.4,0.9,-0.006431673176115023
0.2,0.9,0.008396394660285997
2.5,0.9,-0.0061454510104398865
0.8,0.9,-0.01120646606132187
1.6,0.9,-0.008964702327628042
2.0,0.9,-0.00737805669963227
1.0,0.9,-0.011072410992517353
4.0,0.7,-0.006975916591610211
4.0,0.5,-0.007541215696149844
4.0,0.3,-0.007772374378249295
0.0,0.3,0.0
